STATE_NAME,PC_NAME,CANDIDATES NAME,SEX,AGE,CATEGORY,PARTY NAME,PARTY SYMBOL,GENERAL,POSTAL ,TOTAL,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,Total Electors,,
Andhra Pradesh,Karimnagar ,PULIKOTA RAMESH,M,34,SC,IND,Battery Torch,1772,1,1773,0.1143273515,0.1572905919,1550810,,
Andhra Pradesh,Karimnagar ,MALLESH YADAV BARLA,M,26,GEN,IND,Coconut,2757,0,2757,0.1777780644,0.2445855397,1550810,,
Andhra Pradesh,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,M,45,GEN,IND,Kite,6713,0,6713,0.4328705644,0.5955396185,1550810,,
Andhra Pradesh,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,M,41,GEN,IND,Carrom Board,3851,0,3851,0.2483218447,0.3416390691,1550810,,
Andhra Pradesh,Karimnagar ,None of the Above,,,,NOTA,NOTA,5722,12,5734,0.3697422637,0.5086882426,1550810,,
Andhra Pradesh,Nizamabad,ENDALA LAKSHMINARAYANA,M,51,GEN,BJP,Lotus,222876,2457,225333,15.0604233545,21.7921490121,1496193,,
Andhra Pradesh,Nizamabad,KALVAKUNTLA KAVITHA,F,36,GEN,TRS,Car,435706,3601,439307,29.3616532092,42.4857593253,1496193,,
Andhra Pradesh,Nizamabad,TALARI RAMULU,M,46,SC,BSP,Elephant,7398,23,7421,0.4959921614,0.7176913183,1496193,,
Andhra Pradesh,Nizamabad,MADHU YASKHI GOUD,M,56,GEN,INC,Hand,270948,1175,272123,18.1876936999,26.3172503167,1496193,,
Andhra Pradesh,Nizamabad,ABDUL GANI,M,39,GEN,BCUF,Chappals,4791,0,4791,0.3202126998,0.4633417472,1496193,,
Andhra Pradesh,Nizamabad,BANJA VEERAPPA,M,53,GEN,PPOI,Television,3649,2,3651,0.244019321,0.3530913628,1496193,,
Andhra Pradesh,Nizamabad,MALIK MOHTASIM KHAN,M,47,GEN,WPOI,Auto- Rickshaw,43738,76,43814,2.928365525,4.2372897748,1496193,,
Andhra Pradesh,Nizamabad,RAPELLY SRINIVAS,M,39,GEN,AAAP,Broom,2613,8,2621,0.1751779349,0.2534791733,1496193,,
Andhra Pradesh,Nizamabad,SAGAR SUDDALA,M,32,SC,BMUP,Cot,1952,26,1978,0.1322021958,0.1912940881,1496193,,
Andhra Pradesh,Nizamabad,SINGAREDDY RAVINDRA REDDY,M,46,GEN,YSRCP,Ceiling Fan,3508,21,3529,0.2358652928,0.3412926374,1496193,,
Andhra Pradesh,Nizamabad,ABDUL KAREEM KHAN (BABU),M,44,GEN,IND,Bat,1599,2,1601,0.1070049118,0.1548340925,1496193,,
Andhra Pradesh,Nizamabad,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,3988,2,3990,0.2666768258,0.3858763455,1496193,,
Andhra Pradesh,Nizamabad,KOTAPATI NARSIMHAM NAIDU,M,56,GEN,IND,Gas Cylinder,2458,4,2462,0.1645509637,0.238102146,1496193,,
Andhra Pradesh,Nizamabad,S. CHANDRAIAH,M,66,GEN,IND,Cup & Saucer,2817,0,2817,0.1882778492,0.2724345026,1496193,,
Andhra Pradesh,Nizamabad,CHIRULINGADRULA VENKATESHAM,M,40,GEN,IND,Coconut,3091,0,3091,0.2065909946,0.2989332792,1496193,,
Andhra Pradesh,Nizamabad,BAGWAN B,M,49,ST,IND,Almirah,8129,0,8129,0.5433122598,0.7861626096,1496193,,
Andhra Pradesh,Nizamabad,None of the Above,,,,NOTA,NOTA,7244,22,7266,0.4856325354,0.7027011344,1496193,,
Andhra Pradesh,Zahirabad,B.B. PATIL,M,58,GEN,TRS,Car,505983,2678,508661,35.1928316523,46.2523789476,1445354,,
Andhra Pradesh,Zahirabad,K.MADAN MOHAN RAO,M,44,GEN,TDP,Bicycle,156807,690,157497,10.896776845,14.3211508787,1445354,,
Andhra Pradesh,Zahirabad,SYED FEROZUDDIN,M,46,GEN,BSP,Elephant,8165,15,8180,0.5659513171,0.743804734,1445354,,
Andhra Pradesh,Zahirabad,SURESH KUMAR SHETKAR,M,53,GEN,INC,Hand,362939,1091,364030,25.1862173557,33.1011292556,1445354,,
Andhra Pradesh,Zahirabad,MARRI DURGESH,M,30,SC,RPI(A),Sewing Machine,18027,0,18027,1.2472377009,1.6391892347,1445354,,
Andhra Pradesh,Zahirabad,MAHMOOD MOHIUDDIN,M,44,GEN,YSRCP,Ceiling Fan,12369,14,12383,0.8567451296,1.1259821541,1445354,,
Andhra Pradesh,Zahirabad,DR. SUNEEL KUMAR CHOWDHARY,M,53,GEN,AAAP,Broom,3270,15,3285,0.2272799605,0.2987039794,1445354,,
Andhra Pradesh,Zahirabad,TANDALE AMBAJI RAO,M,45,GEN,IND,Slate,2321,2,2323,0.1607218716,0.2112296329,1445354,,
Andhra Pradesh,Zahirabad,BENJAMIN RAJU,M,43,GEN,IND,Grapes,4802,2,4804,0.3323753212,0.4368261543,1445354,,
Andhra Pradesh,Zahirabad,RAMA RAO,M,45,GEN,IND,Balloon,4426,0,4426,0.3062225586,0.4024547375,1445354,,
Andhra Pradesh,Zahirabad,None of the Above,,,,NOTA,NOTA,11157,33,11190,0.7742047969,1.017503053,1445354,,
Andhra Pradesh,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,M,60,GEN,TRS,Car,655484,2008,657492,42.800843138,55.0876008241,1536166,,
Andhra Pradesh,Medak,CHAGANLA NARENDRA NATH,M,49,GEN,BJP,Lotus,181177,627,181804,11.8349188825,15.2323468274,1536166,,
Andhra Pradesh,Medak,Y. SHANKAR GOUD,M,50,GEN,BSP,Elephant,6633,10,6643,0.4324402441,0.5565800531,1536166,,
Andhra Pradesh,Medak,DR.P. SHRAVAN KUMAR REDDY,M,39,GEN,INC,Hand,260202,261,260463,16.9553941436,21.8227473086,1536166,,
Andhra Pradesh,Medak,IQBAL ALI ZAFAR,M,59,GEN,MBT,Balloon,5010,0,5010,0.3261366285,0.4197600581,1536166,,
Andhra Pradesh,Medak,KOMPELLI PRABHUDAS,M,48,SC,RPI(A),Sewing Machine,7599,0,7599,0.4946731017,0.6366779804,1536166,,
Andhra Pradesh,Medak,"PRABHUGOUD, PULLAIAHGARI",M,45,GEN,YSRCP,Ceiling Fan,11744,8,11752,0.7650214886,0.984634771,1536166,,
Andhra Pradesh,Medak,BOMMA BALESHAM,M,62,GEN,PPOI,Television,3296,1,3297,0.2146252423,0.2762373077,1536166,,
Andhra Pradesh,Medak,KUNDETI. RAVI.,M,40,GEN,IND,Camera,33507,0,33507,2.1812095828,2.8073653228,1536166,,
Andhra Pradesh,Medak,GAJABINKAR BANSILAL,M,49,GEN,IND,Basket containing Fruits,3281,0,3281,0.2135836882,0.2748967566,1536166,,
Andhra Pradesh,Medak,GURJADA BHEERAIAH YADAV,M,47,GEN,IND,Coconut,2050,3,2053,0.1336444108,0.1720094609,1536166,,
Andhra Pradesh,Medak,BALARAJU MITTAPALLY,M,43,GEN,IND,Carrom Board,2973,0,2973,0.1935337717,0.2490911483,1536166,,
Andhra Pradesh,Medak,MEKA. SUBBA RAO,M,37,SC,IND,Cup & Saucer,4441,0,4441,0.2890963607,0.3720867102,1536166,,
Andhra Pradesh,Medak,None of the Above,,,,NOTA,NOTA,10687,9,10696,0.6962789178,0.8961583995,1536166,,
Andhra Pradesh,Malkajgiri,KARUNAKAR.R,M,48,GEN,BSP,Elephant,6111,22,6133,0.1926748376,0.3774541753,3183083,,
Andhra Pradesh,Malkajgiri,CH.MALLA REDDY,M,56,GEN,TDP,Bicycle,522423,933,523356,16.4417955799,32.2098332567,3183083,,
Andhra Pradesh,Malkajgiri,SARVEY SATHYANARAYANA,M,60,GEN,INC,Hand,232989,541,233530,7.3365978832,14.3725539794,3183083,,
Andhra Pradesh,Malkajgiri,HANUMANTH RAO MYNAMPALLY,M,47,GEN,TRS,Car,493433,1757,495190,15.5569301837,30.4763628016,3183083,,
Andhra Pradesh,Malkajgiri,DR.JAYAPRAKASH  NARAYAN .N,M,58,GEN,LSP,Whistle,157530,718,158248,4.9715323163,9.739339366,3183083,,
Andhra Pradesh,Malkajgiri,JAJULA BHASKAR,M,39,GEN,SHP,Auto- Rickshaw,7951,2,7953,0.2498521088,0.4894656866,3183083,,
Andhra Pradesh,Malkajgiri,V.DINESH REDDY,M,60,GEN,YSRCP,Ceiling Fan,114941,280,115221,3.6197925093,7.0912518394,3183083,,
Andhra Pradesh,Malkajgiri,DIVAKAR DHARANIKOTA SUDHAKAR,M,28,GEN,AIMIM,Almirah,18535,9,18544,0.5825798448,1.1412865199,3183083,,
Andhra Pradesh,Malkajgiri,PADURI SRINIVAS REDDY,M,39,GEN,TLP,Gas Cylinder,793,9,802,0.0251956986,0.0493589187,3183083,,
Andhra Pradesh,Malkajgiri,BANDI SUDHAKAR,M,39,GEN,JaSPa,Chappals,4088,7,4095,0.1286488602,0.2520259005,3183083,,
Andhra Pradesh,Malkajgiri,MURARI.T.N,M,60,GEN,SHS,Bow & Arrow,1388,2,1390,0.0436683555,0.0855472532,3183083,,
Andhra Pradesh,Malkajgiri,SATHYANARAYANA YAADAV PEDDIBOYINA,M,40,GEN,BCBDP,Candles,593,3,596,0.0187239855,0.0366806927,3183083,,
Andhra Pradesh,Malkajgiri,SUTHARAPU PADMAIAH,M,60,GEN,APRSSP,Batsman,527,2,529,0.016619108,0.032557192,3183083,,
Andhra Pradesh,Malkajgiri,DR.N.V.SUDHA KIRAN,M,48,GEN,AAAP,Broom,8264,37,8301,0.2607849057,0.5108832723,3183083,,
Andhra Pradesh,Malkajgiri,SURAKANTI VENKAT REDDY,M,50,GEN,PPOI,Television,2048,1,2049,0.0643715542,0.1261052674,3183083,,
Andhra Pradesh,Malkajgiri,ANJANEYULU.E,M,28,GEN,IND,Bat,2675,2,2677,0.0841008544,0.1647553933,3183083,,
Andhra Pradesh,Malkajgiri,KANTE SAYANNA,M,35,GEN,IND,Stethoscope,2260,1,2261,0.0710317639,0.1391527622,3183083,,
Andhra Pradesh,Malkajgiri,KOYALKAR BHOJ RAJ,M,56,GEN,IND,Basket containing Fruits,1547,0,1547,0.0486006805,0.0952097846,3183083,,
Andhra Pradesh,Malkajgiri,GAJABINKAR BANSILAL,M,47,GEN,IND,Air Conditioner,1416,0,1416,0.0444851737,0.0871474176,3183083,,
Andhra Pradesh,Malkajgiri,DASARI BHARATH REDDY,M,28,GEN,IND,Cup & Saucer,1693,0,1693,0.0531874287,0.1041953235,3183083,,
Andhra Pradesh,Malkajgiri,PROF. K.NAGESHWAR,M,50,GEN,IND,Telephone,13037,202,13239,0.415917524,0.8147914278,3183083,,
Andhra Pradesh,Malkajgiri,M.NAGESWARA RAO,M,60,GEN,IND,Letter Box,1264,37,1301,0.0408723241,0.0800697672,3183083,,
Andhra Pradesh,Malkajgiri,PEESARI SATISH REDDY,M,32,GEN,IND,Harmonium,1325,0,1325,0.0416263101,0.081546842,3183083,,
Andhra Pradesh,Malkajgiri,POTTURI TULASI DAS,M,62,GEN,IND,Walking Stick,411,0,411,0.0129120101,0.0252949072,3183083,,
Andhra Pradesh,Malkajgiri,POLISETTY KRISHNA RAO,M,28,GEN,IND,Bottle,495,1,496,0.0155823772,0.0305262141,3183083,,
Andhra Pradesh,Malkajgiri,D.BIKSHAPATHI,M,40,GEN,IND,Camera,5715,2,5717,0.179605747,0.3518515441,3183083,,
Andhra Pradesh,Malkajgiri,RAHUL PANDIT,M,48,GEN,IND,Battery Torch,897,2,899,0.0282430587,0.055328763,3183083,,
Andhra Pradesh,Malkajgiri,VATTIKUTI RAMARAO GOUD,M,28,GEN,IND,Pen Nib with Seven Rays,1031,1,1032,0.0324213977,0.0635142196,3183083,,
Andhra Pradesh,Malkajgiri,M.T.VARUGHESE,M,50,GEN,IND,Gas Stove,1025,1,1026,0.0322329012,0.0631449509,3183083,,
Andhra Pradesh,Malkajgiri,B.VEERA HANUMANTHA REDDY,M,48,GEN,IND,Slate,775,0,775,0.0243474644,0.0476972095,3183083,,
Andhra Pradesh,Malkajgiri,None of the Above,,,,NOTA,NOTA,8666,26,8692,0.2730685942,0.5349472838,3183083,,
Andhra Pradesh,Secundrabad,M.ANJAN KUMAR YADAV,M,53,GEN,INC,Hand,183427,109,183536,9.6917160266,18.2666871028,1893741,,
Andhra Pradesh,Secundrabad,KHAJA KHALID ANWAR,M,47,GEN,BSP,Elephant,2856,7,2863,0.1511822366,0.2849442353,1893741,,
Andhra Pradesh,Secundrabad,BANDARU DATTATREYA,M,66,GEN,BJP,Lotus,437860,411,438271,23.1431330895,43.6195581424,1893741,,
Andhra Pradesh,Secundrabad,T.BHEEMSEN,M,65,GEN,TRS,Car,143696,151,143847,7.5959172875,14.3165817043,1893741,,
Andhra Pradesh,Secundrabad,ABDUS SATTAR MUJAHED,M,48,GEN,ABML(S),Balloon,807,2,809,0.042719675,0.0805169006,1893741,,
Andhra Pradesh,Secundrabad,DR.N.S.UDAY KUMAR,M,53,GEN,pjdl,Television,927,1,928,0.0490035332,0.0923605485,1893741,,
Andhra Pradesh,Secundrabad,KARANKOTE NARENDER,M,52,GEN,AIFB,Lion,474,0,474,0.0250298219,0.0471755388,1893741,,
Andhra Pradesh,Secundrabad,KUMAR CHOWDARY YADAV.G,M,55,GEN,sps,Bat,547,0,547,0.0288846257,0.0544409699,1893741,,
Andhra Pradesh,Secundrabad,KHAJA SIRAJUDDIN AZAZ,M,49,GEN,mmsp,Iron,957,2,959,0.0506405047,0.0954458686,1893741,,
Andhra Pradesh,Secundrabad,CHAYA RATAN MUSINIPALLY,F,61,SC,AAAP,Broom,11162,22,11184,0.5905770641,1.1131038519,1893741,,
Andhra Pradesh,Secundrabad,B.DEEPAK KUMAR,M,39,SC,RPI(KH),Candles,1813,0,1813,0.0957364286,0.1804414595,1893741,,
Andhra Pradesh,Secundrabad,NARLA MOHAN RAO,M,47,GEN,AIMIM,Kite,145095,25,145120,7.6631387291,14.4432788791,1893741,,
Andhra Pradesh,Secundrabad,DR.MALATHI LATHA EPPA,F,29,GEN,JAP,Almirah,871,2,873,0.046099229,0.0868865936,1893741,,
Andhra Pradesh,Secundrabad,CH. MURAHARI,M,55,GEN,SUCI,Glass Tumbler,552,2,554,0.0292542644,0.055137655,1893741,,
Andhra Pradesh,Secundrabad,MOHD IMTIAZ HUSSAIN,M,35,GEN,IUML,Ladder,784,2,786,0.0415051477,0.0782277922,1893741,,
Andhra Pradesh,Secundrabad,RAGHU DESHABOINA,M,45,GEN,BMUP,Cot,1494,2,1496,0.0789970751,0.1488915739,1893741,,
Andhra Pradesh,Secundrabad,J.RAMULU,M,39,GEN,RSP,Spade & Stoker,2057,1,2058,0.1086737838,0.2048254406,1893741,,
Andhra Pradesh,Secundrabad,SHAKTHI SATYAVATHI,F,49,ST,PPOI,Battery Torch,638,0,638,0.0336899291,0.0634978771,1893741,,
Andhra Pradesh,Secundrabad,K. SRINIVASULU,M,42,GEN,JaSPa,Chappals,3688,3,3691,0.1949052167,0.3673521385,1893741,,
Andhra Pradesh,Secundrabad,SYED SAJID ALI,M,44,GEN,YSRCP,Ceiling Fan,45161,26,45187,2.3861235512,4.4973018379,1893741,,
Andhra Pradesh,Secundrabad,K.SAI KRISHNA MOHAN RAO,M,53,GEN,ICSP,Trumpet,2599,4,2603,0.1374527985,0.2590673575,1893741,,
Andhra Pradesh,Secundrabad,SONU SARSAL VALMIKI,M,29,SC,TECPI,Auto- Rickshaw,2310,1,2311,0.1220335833,0.2300056332,1893741,,
Andhra Pradesh,Secundrabad,ANANTH RAO GUNDEPALLY,M,43,GEN,IND,Pen Nib with Seven Rays,779,0,779,0.041135509,0.077531107,1893741,,
Andhra Pradesh,Secundrabad,AVULA RANGANAYAKULU,M,60,GEN,IND,Telephone,1143,1,1144,0.060409528,0.1138582624,1893741,,
Andhra Pradesh,Secundrabad,MICHAEL DANIEL OVELZ,M,41,GEN,IND,Pot,291,0,291,0.0153664097,0.0289621979,1893741,,
Andhra Pradesh,Secundrabad,MOHD ABUBAKAR PARWAIZ SIDDIQUI,M,38,GEN,IND,Gas Cylinder,322,0,322,0.0170033811,0.0320475179,1893741,,
Andhra Pradesh,Secundrabad,MOHAMMED RIZWAN HUSSAIN,M,32,GEN,IND,Coconut,370,0,370,0.0195380466,0.0368247877,1893741,,
Andhra Pradesh,Secundrabad,S. LAKSHMAN RAO,M,50,GEN,IND,Envelope,885,1,886,0.0467857009,0.0881804375,1893741,,
Andhra Pradesh,Secundrabad,SYED MADANI QUADRI,M,53,GEN,IND,Bread,376,0,376,0.0198548798,0.0374219464,1893741,,
Andhra Pradesh,Secundrabad,B.SUBRAMANYAM,M,60,GEN,IND,Camera,2480,1,2481,0.1310105236,0.2469251302,1893741,,
Andhra Pradesh,Secundrabad,None of the Above,,,,NOTA,NOTA,6567,5,6572,0.3470379529,0.65408785,1893741,,
Andhra Pradesh,Hyderabad,S KRISHNA REDDY,M,51,GEN,INC,Hand,49301,9,49310,2.7045601264,5.0742564069,1823217,,
Andhra Pradesh,Hyderabad,DR.BHAGAVANTH RAO,M,61,GEN,BJP,Lotus,311336,78,311414,17.0804682054,32.0461262359,1823217,,
Andhra Pradesh,Hyderabad,RASHID SHAREEF,M,53,GEN,TRS,Car,37190,5,37195,2.0400753174,3.8275596644,1823217,,
Andhra Pradesh,Hyderabad,VENU GOPAL.P,M,30,SC,BSP,Elephant,3100,0,3100,0.1700291298,0.3190061825,1823217,,
Andhra Pradesh,Hyderabad,ASADUDDIN OWAISI,M,43,GEN,AIMIM,Kite,513777,91,513868,28.1846867378,52.8796996814,1823217,,
Andhra Pradesh,Hyderabad,S.KHAJA MOINUDDIN,M,45,GEN,AIACP,Batsman,1592,1,1593,0.0873730335,0.1639280157,1823217,,
Andhra Pradesh,Hyderabad,JAYA VINDHYALA,F,49,GEN,SP(I),Battery Torch,598,0,598,0.0327991676,0.0615373217,1823217,,
Andhra Pradesh,Hyderabad,BINGHI RAJASHEKAR,M,38,GEN,PPOI,Television,21796,0,21796,1.195469327,2.242922179,1823217,,
Andhra Pradesh,Hyderabad,BODDU SAINATH REDDY,M,36,GEN,YSRCP,Ceiling Fan,10735,8,10743,0.589233207,1.1055107804,1823217,,
Andhra Pradesh,Hyderabad,N.MAHENDER SINGH,M,49,GEN,NBNP,Dao,485,0,485,0.0266013316,0.0499090318,1823217,,
Andhra Pradesh,Hyderabad,LUBNA SARWATH,F,49,GEN,AAAP,Broom,6118,0,6118,0.3355607149,0.629574137,1823217,,
Andhra Pradesh,Hyderabad,SYED MUSTAFA MAHMOOD,M,45,GEN,MBT,Bat,2101,1,2102,0.1152907196,0.2163067728,1823217,,
Andhra Pradesh,Hyderabad,MD OSMAN,M,52,GEN,IND,BELT,728,0,728,0.0399294215,0.0749150003,1823217,,
Andhra Pradesh,Hyderabad,SHAIK MOIN,M,46,GEN,IND,Candles,626,0,626,0.0343349146,0.0644186678,1823217,,
Andhra Pradesh,Hyderabad,SYED ABDUL GAFFER,M,56,GEN,IND,Gas Cylinder,740,0,740,0.0405875987,0.0761498629,1823217,,
Andhra Pradesh,Hyderabad,M A HABEEB,M,37,GEN,IND,Carrom Board,5992,0,5992,0.3286498535,0.6166080793,1823217,,
Andhra Pradesh,Hyderabad,None of the Above,,,,NOTA,NOTA,5011,2,5013,0.2749535574,0.5158638687,1823217,,
Andhra Pradesh,CHELVELLA,KONDA VISHWESHWAR REDDY,M,54,GEN,TRS,Car,431084,3993,435077,19.9104964204,32.9034707396,2185164,,
Andhra Pradesh,CHELVELLA,TULLA VEERENDER,M,31,GEN,TDP,Bicycle,352227,976,353203,16.1636838242,26.7116040969,2185164,,
Andhra Pradesh,CHELVELLA,PATLOLLA KARTIK REDDY,M,34,GEN,INC,Hand,360834,1220,362054,16.5687335138,27.3809766896,2185164,,
Andhra Pradesh,CHELVELLA,SAMALA RAVINDAR,M,46,GEN,BSP,Elephant,7713,19,7732,0.3538407186,0.5847462306,2185164,,
Andhra Pradesh,CHELVELLA,KUMMARI GIRI,M,33,GEN,PPOI,Television,5787,2,5789,0.2649229074,0.4378034052,2185164,,
Andhra Pradesh,CHELVELLA,KONDA RAGHAVA REDDY,M,54,GEN,YSRCP,Ceiling Fan,40069,66,40135,1.8367042474,3.0352806472,2185164,,
Andhra Pradesh,CHELVELLA,DR.GOLLA RAMAIAH,M,73,GEN,TLP,Gas Cylinder,1737,28,1765,0.0807719695,0.1334812593,2185164,,
Andhra Pradesh,CHELVELLA,CHAN PASHA,M,37,GEN,ABML(S),Kite,56832,3,56835,2.6009489448,4.2982478032,2185164,,
Andhra Pradesh,CHELVELLA,MD YUNUS MIYA,M,70,GEN,MCPI,Carrom Board,2901,3,2904,0.1328962037,0.219620157,2185164,,
Andhra Pradesh,CHELVELLA,REGATTE VENKAT REDDY,M,54,GEN,AAAP,Broom,7433,29,7462,0.3414846666,0.5643270011,2185164,,
Andhra Pradesh,CHELVELLA,SYED HASHMATHULLAH QUADRI,M,45,GEN,IUML,Ladder,1399,12,1411,0.0645718125,0.1067093807,2185164,,
Andhra Pradesh,CHELVELLA,DR. P. SADHU SATYANADHAN,M,61,GEN,ICSP,Trumpet,2487,58,2545,0.1164672308,0.1924701444,2185164,,
Andhra Pradesh,CHELVELLA,SUTHARAPU PADMAIAH,M,61,GEN,APRSSP,Batsman,2211,3,2214,0.1013196264,0.1674376816,2185164,,
